2020-11-25 22:48:44,030.30  | VALIDATOR  | INFO | ------------------------------------------------
2020-11-25 22:53:03,626.626  | VALIDATOR  | INFO | 136819-instance-300.txt
2020-11-25 22:53:03,626.626  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:53:04,604.604  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:53:04,604.604  | VALIDATOR  | INFO | CORRECT  Actual value: 142.18
2020-11-25 22:53:04,816.816  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:53:04,816.816  | VALIDATOR  | INFO | 136819-instance-350.txt
2020-11-25 22:53:04,816.816  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:53:05,686.686  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:53:05,701.701  | VALIDATOR  | INFO | CORRECT  Actual value: 176.16
2020-11-25 22:53:05,886.886  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:53:05,886.886  | VALIDATOR  | INFO | 136819-instance-400.txt
2020-11-25 22:53:05,886.886  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:53:06,788.788  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:53:06,788.788  | VALIDATOR  | INFO | CORRECT  Actual value: 352.7
2020-11-25 22:53:06,988.988  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:53:06,988.988  | VALIDATOR  | INFO | 136819-instance-450.txt
2020-11-25 22:53:06,988.988  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:53:07,889.889  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:53:07,889.889  | VALIDATOR  | INFO | CORRECT  Actual value: 291.38
2020-11-25 22:53:08,089.89  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:53:08,089.89  | VALIDATOR  | INFO | 136819-instance-50.txt
2020-11-25 22:53:08,089.89  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:53:08,937.937  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:53:08,937.937  | VALIDATOR  | INFO | CORRECT  Actual value: 56.59
2020-11-25 22:53:09,137.137  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:53:09,137.137  | VALIDATOR  | INFO | 136819-instance-500.txt
2020-11-25 22:53:09,137.137  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:53:10,123.123  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0.0
2020-11-25 22:53:10,123.123  | VALIDATOR  | INFO | CORRECT  Actual value: 474.9
2020-11-25 22:56:56,864.864  | VALIDATOR  | INFO | ------------------------------------------------

2020-11-25 22:56:56,864.864  | VALIDATOR  | INFO | 136819-instance-100.txt
2020-11-25 22:56:56,864.864  | VALIDATOR  | INFO | 136819-algorithm.exe
2020-11-25 22:56:57,749.749  | VALIDATOR  | INFO | --------------- Czas algorytmu: 0
2020-11-25 22:56:57,749.749  | VALIDATOR  | INFO | CORRECT  Actual value: 99.44
