2020-12-16 17:58:38,482.482  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 17:58:38,482.482  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 17:59:28,664.664  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 17:59:28,665.665  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 17:59:46,191.191  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 17:59:46,191.191  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:00:53,306.306  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:00:53,306.306  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:14:50,513.513  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:14:50,513.513  | VALIDATOR  | INFO | zerowa_dlugosc-instance-10.txt
2020-12-16 18:14:50,513.513  | VALIDATOR  | ERROR | ERROR ! One of task's length is 0 !!!
2020-12-16 18:15:01,382.382  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:15:01,382.382  | VALIDATOR  | INFO | zerowa_dlugosc-instance-10.txt
2020-12-16 18:15:01,382.382  | VALIDATOR  | ERROR | ERROR ! One of task's length is 0 !!!
2020-12-16 18:15:03,245.245  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:15:03,245.245  | VALIDATOR  | INFO | zerowa_dlugosc-instance-10.txt
2020-12-16 18:15:03,245.245  | VALIDATOR  | ERROR | ERROR ! One of task's length is 0 !!!
2020-12-16 18:15:23,333.333  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:15:23,333.333  | VALIDATOR  | INFO | zerowa_waga-instance-10.txt
2020-12-16 18:15:23,333.333  | VALIDATOR  | ERROR | ERROR ! Task WEIGHT is 0 !!!
2020-12-16 18:16:02,112.112  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:16:02,113.113  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:16:02,113.113  | VALIDATOR  | ERROR | ERROR ! The task amount in result file is invalid.
2020-12-16 18:16:24,702.702  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:16:24,702.702  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:16:24,702.702  | VALIDATOR  | ERROR | ERROR ! There are non unique tasks in result file.
2020-12-16 18:53:40,372.372  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:53:40,373.373  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:53:44,152.152  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:53:44,152.152  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:54:56,962.962  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:54:56,962.962  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:54:56,962.962  | VALIDATOR  | INFO | ERROR ! Invalid criteria value !!! Correct criteria value: 96.61 . Actual value: 0.0
2020-12-16 18:55:01,413.413  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:55:01,414.414  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:55:01,432.432  | VALIDATOR  | INFO | ERROR ! Invalid criteria value !!! Correct criteria value: 96.61 . Actual value: 0.0
2020-12-16 18:55:02,196.196  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:55:02,196.196  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:55:02,196.196  | VALIDATOR  | INFO | ERROR ! Invalid criteria value !!! Correct criteria value: 96.61 . Actual value: 0.0
2020-12-16 18:55:04,928.928  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:55:04,929.929  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:55:04,929.929  | VALIDATOR  | INFO | ERROR ! Invalid criteria value !!! Correct criteria value: 96.61 . Actual value: 0.0
2020-12-16 18:55:14,025.25  | VALIDATOR  | INFO | ------------------------------------------------

2020-12-16 18:55:14,025.25  | VALIDATOR  | INFO | 136819-instance-10.txt
2020-12-16 18:55:14,026.26  | VALIDATOR  | INFO | ERROR ! Invalid criteria value !!! Correct criteria value: 96.61 . Actual value: 0.0
2020-12-16 18:55:31,044.44  | VALIDATOR  | INFO | ------------------------------------------------

